Week,Opponents,Type,Total_Yards
1,San Francisco 49ers,Offensive,430
1,San Francisco 49ers,Defensive,442
2,Green Bay Packers,Offensive,344
2,Green Bay Packers,Defensive,323
3,Baltimore Ravens,Offensive,285
3,Baltimore Ravens,Defensive,387
4,Chicago Bears,Offensive,351
4,Chicago Bears,Defensive,373
5,Minnesota Vikings,Offensive,288
5,Minnesota Vikings,Defensive,384
6,Cincinnati Bengals,Offensive,228
6,Cincinnati Bengals,Defensive,398
7,Los Angeles Rams,Offensive,415
7,Los Angeles Rams,Defensive,374
8,Philadelphia Eagles,Offensive,228
8,Philadelphia Eagles,Defensive,350
9,Bye Week,Offensive,0
9,Bye Week,Defensive,0
10,Pittsburgh Steelers,Offensive,306
10,Pittsburgh Steelers,Defensive,387
11,Cleveland Browns,Offensive,245
11,Cleveland Browns,Defensive,349
12,Chicago Bears,Offensive,239
12,Chicago Bears,Defensive,378
13,Minnesota Vikings,Offensive,372
13,Minnesota Vikings,Defensive,426
14,Denver Broncos,Offensive,316
14,Denver Broncos,Defensive,358
15,Arizona Cardinals,Offensive,338
15,Arizona Cardinals,Defensive,398
