Player,Team,Age,Group,Number_of_Quarterbacks
Tom Brady,TAM,44,38+ Years Old ,1
Derek Carr,LVR,30,28 to 37 Years Old,1
Matthew Stafford,LAR,33,28 to 37 Years Old,1
Justin Herbert,LAC,23,22 to 27 Years Old,1
Patrick Mahomes,KAN,26,22 to 27 Years Old,1
Josh Allen,BUF,25,22 to 27 Years Old,1
Kirk Cousins,MIN,33,28 to 37 Years Old,1
Joe Burrow,CIN,25,22 to 27 Years Old,1
Dak Prescott,DAL,28,28 to 37 Years Old,1
Aaron Rodgers,GNB,38,38+ Years Old ,1
Matt Ryan,ATL,36,28 to 37 Years Old,1
Ben Roethlisberger,PIT,39,38+ Years Old ,1
Jimmy Garoppolo,SFO,30,28 to 37 Years Old,1
Mac Jones,NWE,23,22 to 27 Years Old,1
Ryan Tannehill,TEN,33,28 to 37 Years Old,1
Teddy Bridgewater,DEN,29,28 to 37 Years Old,1
Kyler Murray,ARI,24,22 to 27 Years Old,1
Jared Goff,DET,27,22 to 27 Years Old,1
Carson Wentz,IND,29,28 to 37 Years Old,1
Trevor Lawrence,JAX,22,22 to 27 Years Old,1
Taylor Heinicke,WAS,28,28 to 37 Years Old,1
Lamar Jackson,BAL,24,22 to 27 Years Old,1
Jalen Hurts,PHI,23,22 to 27 Years Old,1
Baker Mayfield,CLE,26,22 to 27 Years Old,1
Russell Wilson,SEA,33,28 to 37 Years Old,1
Daniel Jones,NYG,24,22 to 27 Years Old,1
Tua Tagovailoa,MIA,23,22 to 27 Years Old,1
Sam Darnold,CAR,24,22 to 27 Years Old,1
Davis Mills,HOU,23,22 to 27 Years Old,1
Zach Wilson,NYJ,22,22 to 27 Years Old,1
Justin Fields,CHI,22,22 to 27 Years Old,1
Jacoby Brissett,MIA,29,28 to 37 Years Old,1
Jameis Winston,NOR,27,22 to 27 Years Old,1
